UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;ACRELANDIA;4094;881;0;206;10;326;35;0;0;6;2272;274;41;0;24;16;0;0;0;0;0;3
AC;ASSIS BRASIL;1075;211;0;18;0;80;10;0;0;2;658;88;3;0;4;0;0;0;0;0;0;1
AC;BRASILEIA;6085;1535;0;189;46;595;68;0;2;3;2755;767;12;0;24;77;0;0;0;0;4;8
AC;BUJARI;1348;402;0;91;4;173;16;0;3;3;606;27;11;0;10;0;0;0;0;0;2;0
AC;CAPIXABA;1333;377;0;69;1;152;12;0;1;1;600;93;9;0;13;4;0;0;0;0;0;1
AC;CRUZEIRO DO SUL;23393;4713;0;648;51;1870;233;1;0;57;11299;4280;63;0;18;75;0;0;0;0;4;81
AC;EPITACIOLANDIA;3920;1042;0;189;55;421;45;0;0;1;1521;519;14;0;34;69;0;0;0;0;1;9
AC;FEIJO;2397;406;0;98;1;264;31;0;0;1;1209;365;6;0;7;1;0;0;0;0;3;5
AC;JORDAO;67;9;0;2;0;10;0;0;0;0;32;14;0;0;0;0;0;0;0;0;0;0
AC;MANCIO LIMA;2501;362;0;74;6;203;14;0;1;2;1468;348;10;0;1;11;0;0;0;0;0;1
AC;MANOEL URBANO;611;144;0;25;0;76;6;0;2;0;289;64;2;0;2;0;0;0;0;0;0;1
AC;MARECHAL THAUMATURGO;214;8;0;7;0;16;0;0;0;0;167;12;4;0;0;0;0;0;0;0;0;0
AC;PLACIDO DE CASTRO;3351;924;0;134;7;310;27;0;4;2;1598;290;17;0;19;8;3;0;0;0;6;2
AC;PORTO ACRE;2538;517;0;144;2;238;35;0;2;2;1426;118;35;0;15;3;0;1;0;0;0;0
AC;PORTO WALTER;132;1;0;5;0;11;0;0;0;0;99;13;3;0;0;0;0;0;0;0;0;0
AC;RIO BRANCO;144692;55036;0;3922;412;13878;2966;8;207;197;55446;8699;666;0;1662;679;55;14;0;1;95;749
AC;RODRIGUES ALVES;931;101;0;12;1;54;1;0;0;0;641;116;2;0;0;1;0;0;0;0;0;2
AC;SANTA ROSA DO PURUS;109;11;0;3;0;9;0;0;0;0;70;13;1;0;1;0;0;0;0;0;0;1
AC;SENA MADUREIRA;5560;1052;0;90;4;595;49;0;8;3;2747;954;8;0;28;3;0;0;0;0;2;17
