UF;MUNICIPIO;POPULACAO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;ACRELANDIA;13353;3835;809;0;201;9;292;36;0;0;6;2151;252;41;0;22;13;0;0;0;0;0;3
AC;ASSIS BRASIL;6480;963;197;0;15;0;75;10;0;0;2;582;76;3;0;3;0;0;0;0;0;0;0
AC;BRASILEIA;22899;5670;1443;0;186;45;532;68;0;1;3;2529;750;11;0;22;70;0;0;0;0;3;7
AC;BUJARI;9003;1260;374;0;86;2;160;14;1;2;3;570;27;10;0;8;0;0;0;0;0;2;1
AC;CAPIXABA;9836;1246;349;0;67;0;138;9;0;0;1;567;90;9;0;12;3;0;0;0;0;0;1
AC;CRUZEIRO DO SUL;80377;21991;4441;0;616;44;1765;234;1;0;53;10685;3931;60;0;17;61;0;0;0;1;4;78
AC;EPITACIOLANDIA;16099;3649;978;0;183;36;393;39;0;0;1;1443;493;13;0;18;42;0;0;0;0;1;9
AC;FEIJO;32411;2227;370;0;93;0;261;31;0;0;1;1114;340;6;0;6;0;0;0;0;0;1;4
AC;JORDAO;7147;62;8;0;2;0;8;0;0;0;0;30;14;0;0;0;0;0;0;0;0;0;0
AC;MANCIO LIMA;16410;2347;329;0;71;6;204;14;0;1;2;1388;309;9;0;1;11;0;0;0;0;0;2
AC;MANOEL URBANO;8386;567;139;0;23;0;71;6;0;1;0;266;57;2;0;1;0;0;0;0;0;0;1
AC;MARECHAL THAUMATURGO;15857;179;9;0;7;0;13;0;0;0;0;133;13;4;0;0;0;0;0;0;0;0;0
AC;PLACIDO DE CASTRO;17795;3206;895;0;134;4;295;27;0;4;2;1516;281;15;0;17;5;3;0;0;0;6;2
AC;PORTO ACRE;16029;2396;476;0;140;2;224;36;0;2;2;1350;111;36;0;12;4;0;1;0;0;0;0
