UF;COD_UF;COD_MUN;NOME_MUN;POPULACAO
RO;11;15;Alta Floresta D'Oeste;25652
RO;11;379;Alto Alegre dos Parecis;13884
RO;11;403;Alto Paraíso;19841
RO;11;346;Alvorada D'Oeste;17228
RO;11;23;Ariquemes;102860
RO;11;452;Buritis;37207
RO;11;31;Cabixi;6424
RO;11;601;Cacaulândia;6318
RO;11;49;Cacoal;86556
RO;11;700;Campo Novo de Rondônia;14081
RO;11;809;Candeias do Jamari;23573
RO;11;908;Castanheiras;3653
RO;11;56;Cerejeiras;18013
RO;11;924;Chupinguaia;9887
RO;11;64;Colorado do Oeste;19001
RO;11;72;Corumbiara;8938
RO;11;80;Costa Marques;16258
RO;11;940;Cujubim;20204
RO;11;98;Espigão D'Oeste;32047
RO;11;1005;Governador Jorge Teixeira;10327
RO;11;106;Guajará-Mirim;46203
RO;11;1104;Itapuã do Oeste;9831
RO;11;114;Jaru;55669
RO;11;122;Ji-Paraná;129242
RO;11;130;Machadinho D'Oeste;36412
RO;11;1203;Ministro Andreazza;10860
RO;11;1302;Mirante da Serra;12414
RO;11;1401;Monte Negro;15710
RO;11;148;Nova Brasilândia D'Oeste;21511
RO;11;338;Nova Mamoré;26925
RO;11;1435;Nova União;7853
RO;11;502;Novo Horizonte do Oeste;10393
RO;11;155;Ouro Preto do Oeste;40010
RO;11;1450;Parecis;5589
RO;11;189;Pimenta Bueno;37230
RO;11;1468;Pimenteiras do Oeste;2432
RO;11;205;Porto Velho;494013
RO;11;254;Presidente Médici;22783
RO;11;1476;Primavera de Rondônia;3548
RO;11;262;Rio Crespo;3709
RO;11;288;Rolim de Moura;55807
RO;11;296;Santa Luzia D'Oeste;8706
RO;11;1484;São Felipe D'Oeste;6160
RO;11;1492;São Francisco do Guaporé;18640
RO;11;320;São Miguel do Guaporé;23803
RO;11;1500;Seringueiras;12543
RO;11;1559;Teixeirópolis;5041
RO;11;1609;Theobroma;11345
RO;11;1708;Urupá;13391
RO;11;1757;Vale do Anari;10682
RO;11;1807;Vale do Paraíso;8327
RO;11;304;Vilhena;89797
AC;12;13;Acrelândia;13613
AC;12;54;Assis Brasil;6610
AC;12;104;Brasiléia;23378
AC;12;138;Bujari;9173
AC;12;179;Capixaba;10170
AC;12;203;Cruzeiro do Sul;80953
AC;12;252;Epitaciolândia;16417
AC;12;302;Feijó;32398
AC;12;328;Jordão;7330
AC;12;336;Mâncio Lima;16795
AC;12;344;Manoel Urbano;8514
AC;12;351;Marechal Thaumaturgo;16380
AC;12;385;Plácido de Castro;17979
AC;12;807;Porto Acre;16396
AC;12;393;Porto Walter;10453
AC;12;401;Rio Branco;363928
AC;12;427;Rodrigues Alves;16475
AC;12;435;Santa Rosa do Purus;5593
AC;12;500;Sena Madureira;41036
AC;12;450;Senador Guiomard;20992
AC;12;609;Tarauacá;38201
AC;12;708;Xapuri;17317
AM;13;29;Alvarães;15357
AM;13;60;Amaturá;10644
AM;13;86;Anamã;11981
AM;13;102;Anori;18826
AM;13;144;Apuí;20258
AM;13;201;Atalaia do Norte;17658
AM;13;300;Autazes;36301
AM;13;409;Barcelos;27273
AM;13;508;Barreirinha;30202
AM;13;607;Benjamin Constant;38533
AM;13;631;Beruri;17755
AM;13;680;Boa Vista do Ramos;17248
AM;13;706;Boca do Acre;33148
AM;13;805;Borba;38688
AM;13;839;Caapiranga;12214
AM;13;904;Canutama;14944
AM;13;1001;Carauari;27645
AM;13;1100;Careiro;35938
AM;13;1159;Careiro da Várzea;27357
AM;13;1209;Coari;82209
AM;13;1308;Codajás;26242
AM;13;1407;Eirunepé;33580
AM;13;1506;Envira;18422
AM;13;1605;Fonte Boa;21295
AM;13;1654;Guajará;15561
AM;13;1704;Humaitá;50230
AM;13;1803;Ipixuna;26118
AM;13;1852;Iranduba;45250
AM;13;1902;Itacoatiara;95714
AM;13;1951;Itamarati;8205
AM;13;2009;Itapiranga;8864
AM;13;2108;Japurá;5599
AM;13;2207;Juruá;12807
AM;13;2306;Jutaí;16977
AM;13;2405;Lábrea;42439
AM;13;2504;Manacapuru;92996
